brand,disc_name,speed,glide,turn,fade
lightning discs,#2 putter,1,2,-2,1
lightning discs,#2 roller,6,6,-2,2
lightning discs,#2 upshot,1,3,-2,0
lightning discs,#3 driver,6,5,-2,3
lightning discs,#3 flyer,7,4,-2,2
lightning discs,#3 hookshot,4,5,-1,2
lightning discs,#4 driver,7,4,-1,2
lightning discs,upshot,1,3,-2,0
millennium,aquarius,10,5,-4,2
millennium,aries,11,6,-3,1
millennium,astra,11,5,-2,2
millennium,jls,8,5,-2,2
hyzer bomb,marksman,9,4,-1,2
millennium,aurora,4,5,-1,1
hyzer bomb,moab,6,4,1,5
hyzer bomb,mortar,5,3,0,3
millennium,omega,2,3,-1,1
millennium,orion lf,9,5,-1,3
millennium,orion ls,9,5,-2,2
millennium,polaris lf,9,5,-2,2.5
millennium,polaris ls,8,5,-2,1
millennium,quasar,13,5,-1,4
millennium,qjls,8,5,-2,2
millennium,qms,4,5,0,0
millennium,scorpius,13,4,-1,3
millennium,sentinel mf,5,4,0,4
hyzer bomb,tank - panzer,2,2,0,3
millennium,taurus,4,4,0,4
hyzer bomb,veteran,7,4,0,1
hyzer bomb,sabot,11,4,0,5
mint discs,alpha,8,4,0,2
mint discs,bobcat,5,5,0,2
MVP,amp,8,5,-1.5,1
MVP,anode,2.5,3,0,0.5
MVP,atom,3,3,0,1
MVP,axis,5,5,-1,1
MVP,catalyst,13,5.5,-2,2
MVP,deflector,5,3.5,0,4
MVP,dimension,14.5,5,0,3
MVP,energy,13,4,0,4
MVP,impulse,9,5,-3,1
MVP,inertia,9,5,-2,2
MVP,ion,2.5,3,0,1.5
MVP,limit,14.5,3.5,0,4
MVP,matrix,5,4,-1,2
MVP,motion,9,3.5,0,4
MVP,nitro,13,4,-0.5,3
MVP,octane,13,5,-1,2
MVP,orbital,11,5,-4.5,1
MVP,particle,3,3,0,2.5
MVP,phase,11,3.5,0,4
MVP,photon,11,5,-1,2.5
MVP,relativity,14.5,5.5,-3,1.5
MVP,relay,6,5,-2,1
MVP,resistor,6.5,4,0,3.5
MVP,servo,6.5,5,-1,2
MVP,shock,8,5,0,2.5
MVP,signal,6,5,-3,1
MVP,spin,2.5,4,-2,0
MVP,switch,6.5,5,-1.5,1
MVP,tangent,4,4,-0.5,0.5
MVP,teleport,14.5,5,-1.5,2.5
MVP,tensor,4,4,0,2.5
MVP,tesla,9,5,-1,2
MVP,vector,5,4,0,2
MVP,vertex,4,4,-2,0.5
MVP,volt,8,5,-0.5,2
MVP,wave,11,5,-2,2
obsidian discs,caldera,12,5,-1,2
obsidian discs,cinder,7,5,0,2
obsidian discs,shard,7,5,-1.5,1
obsidian discs,splinter,3,2,0,3.5
ozone discs,andro c,6,4,-2,1
ozone discs,hyperion,11,4,0,4
plastic addicts,habit,3,5,-1,0
plastic addicts,intervention,12,5,-1,4
prodigy,a1,3,3,0,3
prodigy,a2,4,4,0,3
prodigy,a3,4,4,0,2.5
prodigy,a4,4,4,-1,2
prodigy,d1,12,5,0,3
prodigy,d2,12,6,-1,3
prodigy,d3,12,6,-2,2
prodigy,d4,12,6,-3,2
prodigy,d5,12,6,-4,2
prodigy,d6,12,6,-4,1
prodigy,f1,7,4,0,3
prodigy,f2,7,5,-1,3
prodigy,f3,7,5,-1,2
prodigy,f5,7,5,-2,1
prodigy,F7,7,5,-3,1
prodigy,h1v2,10,4,0,3
prodigy,h2v2,10,5,0,2.5
prodigy,h3v2,10,5,-1,2
prodigy,h4v2,10,5,-2,1.5
prodigy,h5,9,5,-3,1
prodigy,m2,5,4,0,2
prodigy,m3,5,5,-1,2
prodigy,M4,5,5,-1,1
prodigy,m5,5,5,-3,1
prodigy,m1,5,4,0,3
prodigy,PA1,3,3,0,2
prodigy,PA2,3,3,0,1
prodigy,PA3,3,4,0,1
prodigy,PA4,3,3,-1,1
prodigy,x2,13,4,0,4
prodigy,x3,12,5,-1,2
prodigy,x4,13,5,-2.5,2
prodigy,x5,13,5,-4,1
prodiscus,fasti,13,4,-2,3
prodiscus,jokeri,4,3,0,2
prodiscus,laseri,7,3,-3,2
prodiscus,legenda,13,5,-1,2
prodiscus,midari,5,4,-1,2
prodiscus,razeri,12,5,0,3
prodiscus,respecti,8,4,0,2
prodiscus,rocket,9,4,0,3
prodiscus,slaidi,12,5,0,3
prodiscus,sparta,3,3,0,0.5
prodiscus,titan,10,4,0,3
reptilian disc golf,gila,5,4,0,3
reptilian disc golf,scale,2,1,0,3
reptilian disc golf,serpent,2,2,0,0
reptilian disc golf,stego,3,1,1,4
reptilian disc golf,tyrant,7,3,0,2.5
RPM,kahu,13,5,-1.5,3
RPM,kea,10,5,-2,2
RPM,kiwi,10,5,-1,2
RPM,ruru,3,3,0,1
RPM,temoko,3,4,0,0
RPM,tui,3,4,-1,0
skyquest discs,chainzilla,2,3,-1,1
skyquest discs,l13,10,5,-3,2
skyquest discs,medusa,11,5,-2,2
storm disc golf,jet stream,12,5,-1,3
storm disc golf,the crater,3,2,0,3
storm disc golf,the eye,5,5,-1,1
streamline,drift,7,5,-2,1
streamline,pilot,2,5,-1,1
streamline,runway,5,4,0,3.5
streamline,trace,11,5,-1,2
tobu discs,charge,9,4,-1,2
tobu discs,power roller,8,4,-3,1
viking discs,axe,4,3,0,1
viking discs,barbarian,7,5,0,2
viking discs,berserker,10,5,-4,1
viking discs,cosmos,7,5,-2,1
viking discs,knife,2,3,0,2
viking discs,loki,4,2,0,4
viking discs,nordic warrior,4,4,0,2
viking discs,ragnarok,11,5,-2,1
viking discs,rune,2,4,0,0
viking discs,thunder god thor,14,5,0,2
viking discs,valhalla,12,5,0,2
westside,ahti,9,3,0,4
westside,anvil,4,2,0,4
westside,bard,5,4,0,3
westside,boatman,11,5,0,2
westside,catapult,14,4,-0.5,3
westside,crown,3,4,0,1
westside,destiny,14,6,-2,3
westside,fortress,10,4,0,3
westside,giant,13,4,0,3.5
westside,harp,4,3,0,3
westside,hatchet,9,6,-2,1
westside,king,14,5,-1.5,3
westside,longbowman,9,4,0,3
westside,maiden,3,4,0,1
westside,northman,10,5,-1,2
westside,pine,5,4,0,2
westside,queen,14,5,-3,2
westside,sampo,10,4,-1,2
westside,seer,7,5,-2,1
westside,shield,3,3,0,1
westside,sling,5,5,0,1
westside,stag,8,6,-1,2
westside,sorcerer,13,5,-0.5,3
westside,swan,3,3,-1,0
westside,swan reborn,3,3,-2.5,0
westside,sword,12,5,-0.5,2
westside,tursas,5,5,-2,1
westside,underworld,7,6,-3,1
westside,war horse,13,4,0,4
westside,warship,5,6,0,1
westside,world,14,4,-0.5,3
yikun sports,claws,1,2,0,0
yikun sports,crossbow,4,2,0.5,4
yikun sports,da'e,13,5,0,2
yikun sports,gou,8,5,-4,1
yikun sports,gui,2,3,0,2
yikun sports,hammer,2,3,0,3
yikun sports,hu,9,5,-2.5,2
yikun sports,jiao,6,5,-2.5,1.5
yikun sports,jun,11,5,-1,2
yikun sports,kui,5,5,0,2
yikun sports,lu,14,5,-1,3
yikun sports,twin swords,12,5,0,2
yikun sports,view,6,4,-1,2
yikun sports,wei,10,5,-2.5,2
yikun sports,wings,3,3,0,2
yikun sports,yao,4,4,0,2
prodigy,d1 max,12,5,0,3
prodigy,d2 max,12,6,-1,3
infinite discs,emperor,12,5,-1,2.5
axiom,pyro,5,4,0,2.5
millennium,falcon,13,5,0,0.3
gateway disc sports,blade,9,5,0,3
gateway disc sports,spear,9,6,-2,1
disc golf uk,the duke,5.5,4,0,3.5
dynamic discs,raider,13,5,-1,3
streamline,flare,9,4,0,3.5
MVP,entropy,3,3,0,4
disc golf uk,the baron,4,3,0,2.5
disc golf uk,the count,7,4,-1,3
storm disc golf,abyss,8,5,0,3
discmania,sea serpent,12,5,-2,2
discmania,fox spirit,6,4,0,2
discmania,instinct,7,5,0,2
discmania,sun crow,8,5,-4,1
discmania,spring ox,4,3,0,2
discmania,guardian lion,1,3,0,1
discmania,DD3,12,5,-1,3
streamline,lift,9,5,-2,1.5
tokyo discs,rei,2,5,0,1
prodigy,mx-3,5,4,0,2
above ground level,magnolia,5,4,0,2
streamline,stabilizer,3,3.5,0,3
discmania,method,5,5,0,3
millennium,draco,9,5,0,3
infinite discs,scarab,2,4,0,1
infinite discs,scepter,9,3,0,4
discmania,enigma,12,5,-1,2
mint discs,profit,3,3,0,1
axiom,delirium,14.5,5,-0.5,3
discmania,link,2,3,0,1
black zombie disc golf,flame thrower,11.5,6,-2,2
yikun sports,tomahawk,5,6,0,0
yikun sports,meteor hammer,2,3,0,0
discraft,anax,10,6,0,3
above ground level,sycamore,7,5,0,1
infinite discs,cohort,3.5,4,0,1
infinite discs,centurion,7,5,-1,1.5
DGA,rift,5,4,-1,1.5
storm disc golf,radar,2,5,0,0.5
discraft,malta,5,4,1,3
mint discs,freetail,10,5,-3,2
infinite discs,aztec,10,5,-1,2
abc discs,gamma ray,9,4,-2,2
aerobie,arrow,1,2,0,1
aerobie,sharpshooter #1,7,3,0,3
aerobie,sharpshooter #2,4,3,0,3
aerobie,sharpshooter #3,2,3,0,3
ching sports,fusion juju,3,4,-1,1
deity discs,chimera,12,5,-3,2
DGA,shockwave,4,2,0,3
DGA,sparkle aftershock,5,4,0,2
DGA,sparkle reef,2,2,-1,1
discraft,reaper,8,3,0,4
discraft,talon,8,3,1,3
discraft,tracker,8,5,-1,3
discraft,wildcat,11,5,-2,3
dynamic discs,fugitive,5,5,0,1
gateway disc sports,apache,9,6,-1,2
gateway disc sports,hybrid,7,4,-0.5,3
gateway disc sports,karma,7,5,-1,2
gateway disc sports,rage,10,5,-0.5,3.5
gateway disc sports,scout,6,5,-1,2
gateway disc sports,warrior,5,4,0,3
innova,ace,2,3,-2,1
innova,aviar putter,2,3,0,1
innova,barracuda,5,4,-2,3
innova,bulldog,4,3,0,2
innova,ce aviar,2,3,0,0
innova,ce eagle,7,4,-1,3
innova,classic ace,3,3,-2,2
innova,commander,6,3,0,4
innova,coupe,2,3,-1,1
innova,gargoyle,6,3,-1,2
innova,griffin,5,3,1,3
innova,hawg,2,1,0,3.5
innova,lycan,4,5,0,1
innova,pegasus,7,4,-1,3
innova,python,7,3,-1,2
innova,ram,6,4,1,4
innova,raven,6,4,-2,2
innova,scorpion,5,5,-1,2
latitude 64,medius,5,5,-1,2
latitude 64,primitus,9,5,0,2
latitude 64,riot,11,4,-1,2
latitude 64,trident,6,4,-0.5,3
lightning discs,#1 flyer,8,5,-2,2
lightning discs,#1 helix,8,4,-1,3
lightning discs,#1 roller,7,3,-2,1
lightning discs,#1 slice,7,4,-3,2
lightning discs,#2 driver,8,5,-2,2
lightning discs,#2 hyzer,5,5,1,4
lightning discs,#2 slice,6,5,-3,1
lightning discs,maxline -- 1,9,4,-2,3
millennium,exp,7,3,1,4
millennium,omega supersoft putter big bead,2,3,-1,1
ozone discs,andro 1,6,4,-2,1
prodigy,h1,10,3,0,3.5
prodigy,h2,9,5,0,2
prodigy,h3,9,4,0,2
prodigy,x1,13,3,0,5
prodiscus,stari,5,4,-2,1
rip disc golf,ballistic,13,4,-2,3
rip disc golf,graboide,2,1,0,3
rip disc golf,relic,2,2,-2,2
salient discs,antidote,5,6,-0.5,0.5
salient discs,backdraft,12,5,-1,2
salient discs,prometheus,14,4,-1,1
salient discs,touch,2,3,0,1
salient discs,vein,8,4,0,2
skyiron,flagship,11,4,-3,2
ub disc golf - hand candy,procul,12,4,-3,2
ub disc golf - hand candy,monstrum,11,5,0,3
vibram disc golf,arch,8,5,0,2
vibram disc golf,ascent,8,4,0,3
vibram disc golf,crag,4,3.5,0,3.5
vibram disc golf,ibex,5,4,-1,1
vibram disc golf,lace,14,6,-1,1
vibram disc golf,launch,5,5,-1,2
vibram disc golf,notch,7,3,0,4
vibram disc golf,obex,5,4,0,3
vibram disc golf,o-lace,13,5,-1,3
vibram disc golf,onyx,8,6,-3,1
vibram disc golf,ridge,2,3,0,1
vibram disc golf,trak,7,4,-1,2
vibram disc golf,solace,13,4,0,4
vibram disc golf,sole,2,3,0,2
vibram disc golf,summit,2,3,-1,0
vibram disc golf,unlace,14,6,-5,1
vibram disc golf,valley,7,5,-1,1
vibram disc golf,vamp,7,5,-2,1
vibram disc golf,v.p.,2,3,0,2
axiom,theory,4,4,-1.5,1
axiom,alias,4,4,-1,1
axiom,clash,6.5,4,-1,2
axiom,crave,6.5,5,-1,1
axiom,defy,11,5,-1,3
axiom,Envy,3,3,0,2
axiom,excite,14.5,5.5,-2,2
axiom,fireball,9,3.5,-0.5,4
axiom,insanity,9,5,-2,1.5
axiom,inspire,6.5,5,-1.5,1
axiom,mayhem,13,5,-1.5,2
axiom,panic,13,4,-0.5,3
axiom,proxy,3,3,0,0.5
axiom,tantrum,14.5,5,-1.5,3
axiom,tenacity,13,5,-2.5,2
axiom,thrill,11,4,-1,3
axiom,vanish,11,5,-3,2
axiom,virus,9,5,-3.5,1
axiom,wrath,9,4.5,-0.5,2
latitude 64,keystone,2,5,-1,1
kastaplast,gote,4,5,0,1
discraft,stalker,7,5,-1,2
discraft,zeus,12,5,-1,3
innova,firefly,2,3,0,1
discraft,fierce,3,4,-2,0
 Thought Space Athletics,Mantra,9,5,-2,1
DGA,Breaker,4,3,0,3
DGA,Hellfire,10,3,0,5
discraft,Raptor,9,4,0,3
prodigy,P Model S,3,5,0,2
prodigy,D Model S,13,6,0,2
prodigy,F Model S,10,5,-1,3
prodigy,M Model S,6,4,-1,3
innova,Aviar Driver,2,3,0,2
innova,JK Aviar,2,3,0,2
innova,Super Stingray,4,5,-1,1
innova,Aviar-X,2,3,0,2
discraft,rattler,2,2,-2,1
discmania,Sun Bird,7,5,-4,1
discmania,Tiger Warrior,3,3,0,1
prodigy,fx-2,9,5,0,3
Westside,Gatekeeper,4,5,0,2
Discraft,Sol,4,5,-3,0
Kastaplast,Lots,9,5,-1,2
Innova,yeti pro aviar,2,3,0,1
MVP,Ohm,2,5,0,1
MVP,Reactor,5,5,-0.5,1.5
Daredevil Discs,Walrus,4,5,0,3
INNOVA,Sexybird De Zane,9,3,-1,3
innova,croc,5.5,2,0,5
discmania,PD3,11,3,0,5
discmania,tactic,4,2,0,3
discraft,hades,12,6,-3,2
discmania,Night Strike 2,7,5,0,1
discmania,Essence,8,6,-2,1
dynamic discs,Premac Truth,5,5,0,2
DGA,Steady BL,2,3,0,2
DGA,Banzai,8,4,0,3
Latitude 64,Sapphire,10,6,-2,1.5
innova,invader,3,2,0,1
Latitude 64,SPZ3,9,6,-1,2
Dynamic Discs,Bounty,4,5,-1.5,0.5
innova,invictus,10,4,0,3
innova,avatar,5,4,0,2
